item_id,order_id,product_id,quantity,unit_price
1,1001,1,2,25.99
2,1001,14,3,12.50
3,1001,18,5,9.99
4,1002,2,1,89.50
5,1003,4,1,249.99
6,1004,1,1,25.00
7,1004,5,1,20.00
8,1005,7,1,310.25
9,1006,3,1,45.00
10,1006,18,3,9.99
11,1007,6,1,199.99
12,1008,14,2,12.50
13,1008,18,3,9.99
14,1009,7,1,420.00
15,1010,1,1,25.99
16,1010,18,4,9.99
17,1011,2,1,89.50
18,1011,12,2,19.99
19,1012,14,1,12.50
20,1012,18,2,9.99
21,1013,4,1,285.50
22,1014,1,2,25.99
23,1014,18,4,9.99
24,1015,6,1,175.25
25,1016,7,1,500.00
26,1017,1,1,25.99
27,1017,14,3,12.50
28,1017,18,2,9.99
29,1018,4,1,215.00
30,1019,3,1,45.00
31,1019,20,2,15.99
32,1019,1,2,25.99
33,1020,5,1,62.99
34,1021,7,1,445.00
35,1022,11,2,14.99
36,1022,12,2,19.99
37,1022,18,1,9.99
38,1023,6,1,195.00
39,1024,7,1,320.00
40,1025,14,5,12.50
41,1025,12,3,19.99
42,1025,18,2,9.99
43,1026,1,1,25.99
44,1026,14,4,12.50
45,1027,6,1,210.50
46,1028,3,1,45.00
47,1028,5,1,79.99
48,1028,20,2,15.99
49,1029,11,2,14.99
50,1029,1,1,25.99
51,1029,18,3,9.99
52,1030,7,1,340.00
53,1031,14,2,12.50
54,1031,18,3,9.99
55,1032,7,1,280.00
56,1033,6,1,120.00
57,1034,4,1,210.00
58,1035,2,1,89.99
59,1035,12,3,19.99
60,1035,14,1,12.50
61,1036,7,1,430.00
62,1037,1,1,25.99
63,1037,14,4,12.50
64,1037,18,2,9.99
65,1038,14,3,12.50
66,1038,18,4,9.99
67,1039,7,1,520.00
68,1040,11,1,14.99
69,1040,12,2,19.99
70,1040,18,2,9.99
71,1041,6,1,190.00
72,1042,1,2,25.99
73,1042,14,4,12.50
74,1042,18,2,9.99
75,1043,7,1,205.00
76,1044,7,1,348.00
77,1045,5,1,79.99
78,1045,14,1,12.50
79,1045,18,1,9.99
80,1046,2,1,89.50
81,1046,12,1,19.99
82,1046,18,2,9.99
83,1047,7,1,275.50
84,1048,6,1,180.00
85,1049,1,1,25.99
86,1049,14,3,12.50
87,1049,18,2,9.99
88,1050,7,1,410.00
